issue_id,point_id,mach,aoa,value,threshold,status,notes
G04,cn_m1.10_a5,1.10,5.0,6.357916,<50.0,pass,CN at M=1.10 AoA=5
G07,sbli_m1.10_a5,1.10,5.0,0.210000,>0.1,pass,|M^2-1| at M=1.10
G08,press_m1.10_a5,1.10,5.0,0.457866,<2.0,pass,Pressure CD at M=1.10
G04,cd_m1.10_a10,1.10,10.0,1.356253,<2.0,pass,CD at M=1.10 AoA=10
G04,cn_m1.10_a10,1.10,10.0,6.862394,<50.0,pass,CN at M=1.10 AoA=10
G07,sbli_m1.10_a10,1.10,10.0,0.210000,>0.1,pass,|M^2-1| at M=1.10
G08,press_m1.10_a10,1.10,10.0,0.457866,<2.0,pass,Pressure CD at M=1.10
G04,cd_m1.20_a0,1.20,0.0,1.134472,<2.0,pass,CD at M=1.20 AoA=0
G04,cn_m1.20_a0,1.20,0.0,6.022535,<50.0,pass,CN at M=1.20 AoA=0
G07,sbli_m1.20_a0,1.20,0.0,0.440000,>0.1,pass,|M^2-1| at M=1.20
G08,press_m1.20_a0,1.20,0.0,0.433633,<2.0,pass,Pressure CD at M=1.20
G04,cd_m1.20_a2,1.20,2.0,1.141933,<2.0,pass,CD at M=1.20 AoA=2
G04,cn_m1.20_a2,1.20,2.0,6.125100,<50.0,pass,CN at M=1.20 AoA=2
G07,sbli_m1.20_a2,1.20,2.0,0.440000,>0.1,pass,|M^2-1| at M=1.20
G08,press_m1.20_a2,1.20,2.0,0.433633,<2.0,pass,Pressure CD at M=1.20
G04,cd_m1.20_a5,1.20,5.0,1.182583,<2.0,pass,CD at M=1.20 AoA=5
G04,cn_m1.20_a5,1.20,5.0,6.325693,<50.0,pass,CN at M=1.20 AoA=5
G07,sbli_m1.20_a5,1.20,5.0,0.440000,>0.1,pass,|M^2-1| at M=1.20
G08,press_m1.20_a5,1.20,5.0,0.433633,<2.0,pass,Pressure CD at M=1.20
G04,cd_m1.20_a10,1.20,10.0,1.340093,<2.0,pass,CD at M=1.20 AoA=10
G04,cn_m1.20_a10,1.20,10.0,6.784531,<50.0,pass,CN at M=1.20 AoA=10
G07,sbli_m1.20_a10,1.20,10.0,0.440000,>0.1,pass,|M^2-1| at M=1.20
G08,press_m1.20_a10,1.20,10.0,0.433633,<2.0,pass,Pressure CD at M=1.20
G04,cd_m1.30_a0,1.30,0.0,1.059200,<2.0,pass,CD at M=1.30 AoA=0
G04,cn_m1.30_a0,1.30,0.0,5.651243,<50.0,pass,CN at M=1.30 AoA=0
G07,sbli_m1.30_a0,1.30,0.0,0.690000,>0.1,pass,|M^2-1| at M=1.30
G08,press_m1.30_a0,1.30,0.0,0.397690,<2.0,pass,Pressure CD at M=1.30
G04,cd_m1.30_a2,1.30,2.0,1.066196,<2.0,pass,CD at M=1.30 AoA=2
G04,cn_m1.30_a2,1.30,2.0,5.742502,<50.0,pass,CN at M=1.30 AoA=2
G07,sbli_m1.30_a2,1.30,2.0,0.690000,>0.1,pass,|M^2-1| at M=1.30
G08,press_m1.30_a2,1.30,2.0,0.397690,<2.0,pass,Pressure CD at M=1.30
G04,cd_m1.30_a5,1.30,5.0,1.104231,<2.0,pass,CD at M=1.30 AoA=5
G04,cn_m1.30_a5,1.30,5.0,5.920537,<50.0,pass,CN at M=1.30 AoA=5
G07,sbli_m1.30_a5,1.30,5.0,0.690000,>0.1,pass,|M^2-1| at M=1.30
G08,press_m1.30_a5,1.30,5.0,0.397690,<2.0,pass,Pressure CD at M=1.30
G04,cd_m1.30_a10,1.30,10.0,1.250955,<2.0,pass,CD at M=1.30 AoA=10
G04,cn_m1.30_a10,1.30,10.0,6.327000,<50.0,pass,CN at M=1.30 AoA=10
G07,sbli_m1.30_a10,1.30,10.0,0.690000,>0.1,pass,|M^2-1| at M=1.30
G08,press_m1.30_a10,1.30,10.0,0.397690,<2.0,pass,Pressure CD at M=1.30
G04,cd_m1.50_a0,1.50,0.0,0.861956,<2.0,pass,CD at M=1.50 AoA=0
G04,cn_m1.50_a0,1.50,0.0,5.059942,<50.0,pass,CN at M=1.50 AoA=0
G07,sbli_m1.50_a0,1.50,0.0,1.250000,>0.1,pass,|M^2-1| at M=1.50
G08,press_m1.50_a0,1.50,0.0,0.369312,<2.0,pass,Pressure CD at M=1.50
G04,cd_m1.50_a2,1.50,2.0,0.868204,<2.0,pass,CD at M=1.50 AoA=2
G04,cn_m1.50_a2,1.50,2.0,5.128873,<50.0,pass,CN at M=1.50 AoA=2
G07,sbli_m1.50_a2,1.50,2.0,1.250000,>0.1,pass,|M^2-1| at M=1.50
G08,press_m1.50_a2,1.50,2.0,0.369312,<2.0,pass,Pressure CD at M=1.50
G04,cd_m1.50_a5,1.50,5.0,0.901887,<2.0,pass,CD at M=1.50 AoA=5
G04,cn_m1.50_a5,1.50,5.0,5.250062,<50.0,pass,CN at M=1.50 AoA=5
G07,sbli_m1.50_a5,1.50,5.0,1.250000,>0.1,pass,|M^2-1| at M=1.50
G08,press_m1.50_a5,1.50,5.0,0.369312,<2.0,pass,Pressure CD at M=1.50
G04,cd_m1.50_a10,1.50,10.0,1.028631,<2.0,pass,CD at M=1.50 AoA=10
G04,cn_m1.50_a10,1.50,10.0,5.499498,<50.0,pass,CN at M=1.50 AoA=10
