geometry,Mach,CD,CDaxial,pressureCD,frictionCD,baseCD,refLength_m,refArea_m2
ogive_cylinder,4.10,0.217789,0.217789,0.078282,0.068520,0.070987,0.050000,0.00196350
ogive_cylinder,4.20,0.214381,0.214381,0.077838,0.066111,0.070432,0.050000,0.00196350
ogive_cylinder,4.30,0.210946,0.210946,0.077220,0.063812,0.069914,0.050000,0.00196350
ogive_cylinder,4.40,0.207506,0.207506,0.076459,0.061619,0.069428,0.050000,0.00196350
ogive_cylinder,4.50,0.204086,0.204086,0.075587,0.059526,0.068973,0.050000,0.00196350
ogive_cylinder,4.60,0.200706,0.200706,0.074633,0.057528,0.068545,0.050000,0.00196350
ogive_cylinder,4.70,0.197386,0.197386,0.073624,0.055620,0.068142,0.050000,0.00196350
ogive_cylinder,4.80,0.194145,0.194145,0.072586,0.053797,0.067763,0.050000,0.00196350
ogive_cylinder,4.90,0.191000,0.191000,0.071541,0.052054,0.067405,0.050000,0.00196350
ogive_cylinder,5.00,0.187967,0.187967,0.070512,0.050389,0.067066,0.050000,0.00196350
ogive_cylinder,5.10,0.185687,0.185687,0.070146,0.048796,0.066746,0.050000,0.00196350
ogive_cylinder,5.20,0.183010,0.183010,0.069296,0.047271,0.066443,0.050000,0.00196350
ogive_cylinder,5.30,0.180481,0.180481,0.068514,0.045812,0.066155,0.050000,0.00196350
ogive_cylinder,5.40,0.178110,0.178110,0.067813,0.044415,0.065882,0.050000,0.00196350
ogive_cylinder,5.50,0.175920,0.175920,0.067204,0.043094,0.065622,0.050000,0.00196350
ogive_cylinder,5.60,0.174386,0.174386,0.066695,0.042316,0.065375,0.050000,0.00196350
ogive_cylinder,5.70,0.172988,0.172988,0.066290,0.041560,0.065139,0.050000,0.00196350
ogive_cylinder,5.80,0.171740,0.171740,0.066001,0.040825,0.064914,0.050000,0.00196350
ogive_cylinder,5.90,0.170644,0.170644,0.065834,0.040110,0.064699,0.050000,0.00196350
ogive_cylinder,6.00,0.169705,0.169705,0.065796,0.039415,0.064494,0.050000,0.00196350
ogive_cylinder,6.10,0.168859,0.168859,0.065822,0.038739,0.064298,0.050000,0.00196350
ogive_cylinder,6.20,0.168038,0.168038,0.065847,0.038081,0.064110,0.050000,0.00196350
ogive_cylinder,6.30,0.167241,0.167241,0.065870,0.037441,0.063930,0.050000,0.00196350
ogive_cylinder,6.40,0.166468,0.166468,0.065893,0.036818,0.063757,0.050000,0.00196350
ogive_cylinder,6.50,0.165717,0.165717,0.065914,0.036211,0.063591,0.050000,0.00196350
ogive_cylinder,6.60,0.164987,0.164987,0.065935,0.035621,0.063432,0.050000,0.00196350
ogive_cylinder,6.70,0.164278,0.164278,0.065954,0.035045,0.063279,0.050000,0.00196350
ogive_cylinder,6.80,0.163589,0.163589,0.065973,0.034485,0.063131,0.050000,0.00196350
ogive_cylinder,6.90,0.162919,0.162919,0.065991,0.033939,0.062990,0.050000,0.00196350
ogive_cylinder,7.00,0.162268,0.162268,0.066008,0.033407,0.062853,0.050000,0.00196350
ogive_cylinder,7.10,0.161634,0.161634,0.066024,0.032888,0.062721,0.050000,0.00196350
ogive_cylinder,7.20,0.161017,0.161017,0.066040,0.032383,0.062594,0.050000,0.00196350
ogive_cylinder,7.30,0.160416,0.160416,0.066055,0.031890,0.062471,0.050000,0.00196350
ogive_cylinder,7.40,0.159831,0.159831,0.066070,0.031409,0.062353,0.050000,0.00196350
ogive_cylinder,7.50,0.159262,0.159262,0.066084,0.030940,0.062238,0.050000,0.00196350
ogive_cylinder,7.60,0.158707,0.158707,0.066097,0.030482,0.062127,0.050000,0.00196350
ogive_cylinder,7.70,0.158166,0.158166,0.066110,0.030036,0.062020,0.050000,0.00196350
ogive_cylinder,7.80,0.157638,0.157638,0.066122,0.029600,0.061916,0.050000,0.00196350
ogive_cylinder,7.90,0.157124,0.157124,0.066134,0.029174,0.061815,0.050000,0.00196350
ogive_cylinder,8.00,0.156623,0.156623,0.066146,0.028759,0.061718,0.050000,0.00196350
