geometry,Mach,CD,CDaxial,pressureCD,frictionCD,baseCD,refLength_m,refArea_m2
ogive_cylinder,4.60,0.361629,0.361629,0.074632,0.214207,0.072790,0.050000,0.00196350
ogive_cylinder,4.70,0.353491,0.353491,0.073623,0.207447,0.072420,0.050000,0.00196350
ogive_cylinder,4.80,0.345627,0.345627,0.072585,0.200969,0.072073,0.050000,0.00196350
ogive_cylinder,4.90,0.338047,0.338047,0.071541,0.194759,0.071747,0.050000,0.00196350
ogive_cylinder,5.00,0.331091,0.331091,0.070846,0.188804,0.071440,0.050000,0.00196350
ogive_cylinder,5.10,0.324392,0.324392,0.070147,0.183094,0.071151,0.050000,0.00196350
ogive_cylinder,5.20,0.317791,0.317791,0.069298,0.177615,0.070879,0.050000,0.00196350
ogive_cylinder,5.30,0.311495,0.311495,0.068516,0.172357,0.070622,0.050000,0.00196350
ogive_cylinder,5.40,0.305504,0.305504,0.067816,0.167310,0.070379,0.050000,0.00196350
ogive_cylinder,5.50,0.299820,0.299820,0.067207,0.162464,0.070149,0.050000,0.00196350
ogive_cylinder,5.60,0.294439,0.294439,0.066699,0.157809,0.069931,0.050000,0.00196350
ogive_cylinder,5.70,0.289354,0.289354,0.066293,0.153336,0.069725,0.050000,0.00196350
ogive_cylinder,5.80,0.284571,0.284571,0.066004,0.149038,0.069529,0.050000,0.00196350
ogive_cylinder,5.90,0.280086,0.280086,0.065838,0.144905,0.069343,0.050000,0.00196350
ogive_cylinder,6.00,0.275895,0.275895,0.065798,0.140930,0.069167,0.050000,0.00196350
ogive_cylinder,6.10,0.271926,0.271926,0.065822,0.137106,0.068999,0.050000,0.00196350
ogive_cylinder,6.20,0.268110,0.268110,0.065847,0.133425,0.068839,0.050000,0.00196350
ogive_cylinder,6.30,0.264438,0.264438,0.065870,0.129882,0.068686,0.050000,0.00196350
ogive_cylinder,6.40,0.260903,0.260903,0.065893,0.126470,0.068541,0.050000,0.00196350
ogive_cylinder,6.50,0.257499,0.257499,0.065914,0.123183,0.068402,0.050000,0.00196350
ogive_cylinder,6.60,0.254219,0.254219,0.065935,0.120015,0.068270,0.050000,0.00196350
ogive_cylinder,6.70,0.251059,0.251059,0.065954,0.116961,0.068143,0.050000,0.00196350
ogive_cylinder,6.80,0.248012,0.248012,0.065973,0.114016,0.068022,0.050000,0.00196350
ogive_cylinder,6.90,0.245073,0.245073,0.065991,0.111176,0.067907,0.050000,0.00196350
ogive_cylinder,7.00,0.242239,0.242239,0.066008,0.108435,0.067796,0.050000,0.00196350
ogive_cylinder,7.10,0.239503,0.239503,0.066024,0.105789,0.067690,0.050000,0.00196350
ogive_cylinder,7.20,0.236863,0.236863,0.066040,0.103235,0.067588,0.050000,0.00196350
ogive_cylinder,7.30,0.234313,0.234313,0.066055,0.100768,0.067490,0.050000,0.00196350
ogive_cylinder,7.40,0.231850,0.231850,0.066070,0.098384,0.067397,0.050000,0.00196350
ogive_cylinder,7.50,0.229470,0.229470,0.066084,0.096080,0.067307,0.050000,0.00196350
ogive_cylinder,7.60,0.227170,0.227170,0.066097,0.093853,0.067220,0.050000,0.00196350
ogive_cylinder,7.70,0.224946,0.224946,0.066110,0.091699,0.067137,0.050000,0.00196350
ogive_cylinder,7.80,0.222795,0.222795,0.066122,0.089616,0.067057,0.050000,0.00196350
ogive_cylinder,7.90,0.220714,0.220714,0.066134,0.087600,0.066980,0.050000,0.00196350
ogive_cylinder,8.00,0.218701,0.218701,0.066146,0.085648,0.066906,0.050000,0.00196350
