issue_id,point_id,mach,aoa,value,threshold,status,notes
G04,cn_m1.05_a2,1.05,2.0,8.153777,<50.0,pass,CN at M=1.05 AoA=2
G08,press_m1.05_a2,1.05,2.0,0.435733,<2.0,pass,Pressure CD at M=1.05
G04,cd_m1.05_a5,1.05,5.0,1.080551,<2.0,pass,CD at M=1.05 AoA=5
G04,cn_m1.05_a5,1.05,5.0,8.206428,<50.0,pass,CN at M=1.05 AoA=5
G08,press_m1.05_a5,1.05,5.0,0.435733,<2.0,pass,Pressure CD at M=1.05
G04,cd_m1.05_a10,1.05,10.0,1.269348,<2.0,pass,CD at M=1.05 AoA=10
G04,cn_m1.05_a10,1.05,10.0,8.288872,<50.0,pass,CN at M=1.05 AoA=10
G08,press_m1.05_a10,1.05,10.0,0.435733,<2.0,pass,Pressure CD at M=1.05
G04,cd_m1.10_a0,1.10,0.0,1.025673,<2.0,pass,CD at M=1.10 AoA=0
G04,cn_m1.10_a0,1.10,0.0,6.008780,<50.0,pass,CN at M=1.10 AoA=0
G07,sbli_m1.10_a0,1.10,0.0,0.210000,>0.1,pass,|M^2-1| at M=1.10
G08,press_m1.10_a0,1.10,0.0,0.457866,<2.0,pass,Pressure CD at M=1.10
G04,cd_m1.10_a2,1.10,2.0,1.033141,<2.0,pass,CD at M=1.10 AoA=2
G04,cn_m1.10_a2,1.10,2.0,6.129732,<50.0,pass,CN at M=1.10 AoA=2
G07,sbli_m1.10_a2,1.10,2.0,0.210000,>0.1,pass,|M^2-1| at M=1.10
G08,press_m1.10_a2,1.10,2.0,0.457866,<2.0,pass,Pressure CD at M=1.10
G04,cd_m1.10_a5,1.10,5.0,1.074030,<2.0,pass,CD at M=1.10 AoA=5
G04,cn_m1.10_a5,1.10,5.0,6.357916,<50.0,pass,CN at M=1.10 AoA=5
G07,sbli_m1.10_a5,1.10,5.0,0.210000,>0.1,pass,|M^2-1| at M=1.10
G08,press_m1.10_a5,1.10,5.0,0.457866,<2.0,pass,Pressure CD at M=1.10
G04,cd_m1.10_a10,1.10,10.0,1.233654,<2.0,pass,CD at M=1.10 AoA=10
G04,cn_m1.10_a10,1.10,10.0,6.862394,<50.0,pass,CN at M=1.10 AoA=10
G07,sbli_m1.10_a10,1.10,10.0,0.210000,>0.1,pass,|M^2-1| at M=1.10
G08,press_m1.10_a10,1.10,10.0,0.457866,<2.0,pass,Pressure CD at M=1.10
G04,cd_m1.20_a0,1.20,0.0,0.952256,<2.0,pass,CD at M=1.20 AoA=0
G04,cn_m1.20_a0,1.20,0.0,6.022535,<50.0,pass,CN at M=1.20 AoA=0
G07,sbli_m1.20_a0,1.20,0.0,0.440000,>0.1,pass,|M^2-1| at M=1.20
G08,press_m1.20_a0,1.20,0.0,0.433633,<2.0,pass,Pressure CD at M=1.20
G04,cd_m1.20_a2,1.20,2.0,0.959718,<2.0,pass,CD at M=1.20 AoA=2
G04,cn_m1.20_a2,1.20,2.0,6.125100,<50.0,pass,CN at M=1.20 AoA=2
G07,sbli_m1.20_a2,1.20,2.0,0.440000,>0.1,pass,|M^2-1| at M=1.20
G08,press_m1.20_a2,1.20,2.0,0.433633,<2.0,pass,Pressure CD at M=1.20
G04,cd_m1.20_a5,1.20,5.0,1.000368,<2.0,pass,CD at M=1.20 AoA=5
G04,cn_m1.20_a5,1.20,5.0,6.325693,<50.0,pass,CN at M=1.20 AoA=5
G07,sbli_m1.20_a5,1.20,5.0,0.440000,>0.1,pass,|M^2-1| at M=1.20
G08,press_m1.20_a5,1.20,5.0,0.433633,<2.0,pass,Pressure CD at M=1.20
G04,cd_m1.20_a10,1.20,10.0,1.157877,<2.0,pass,CD at M=1.20 AoA=10
G04,cn_m1.20_a10,1.20,10.0,6.784531,<50.0,pass,CN at M=1.20 AoA=10
G07,sbli_m1.20_a10,1.20,10.0,0.440000,>0.1,pass,|M^2-1| at M=1.20
G08,press_m1.20_a10,1.20,10.0,0.433633,<2.0,pass,Pressure CD at M=1.20
G04,cd_m1.30_a0,1.30,0.0,0.863084,<2.0,pass,CD at M=1.30 AoA=0
G04,cn_m1.30_a0,1.30,0.0,5.651243,<50.0,pass,CN at M=1.30 AoA=0
G07,sbli_m1.30_a0,1.30,0.0,0.690000,>0.1,pass,|M^2-1| at M=1.30
G08,press_m1.30_a0,1.30,0.0,0.397690,<2.0,pass,Pressure CD at M=1.30
G04,cd_m1.30_a2,1.30,2.0,0.870080,<2.0,pass,CD at M=1.30 AoA=2
G04,cn_m1.30_a2,1.30,2.0,5.742502,<50.0,pass,CN at M=1.30 AoA=2
G07,sbli_m1.30_a2,1.30,2.0,0.690000,>0.1,pass,|M^2-1| at M=1.30
G08,press_m1.30_a2,1.30,2.0,0.397690,<2.0,pass,Pressure CD at M=1.30
G04,cd_m1.30_a5,1.30,5.0,0.908114,<2.0,pass,CD at M=1.30 AoA=5
G04,cn_m1.30_a5,1.30,5.0,5.920537,<50.0,pass,CN at M=1.30 AoA=5
G07,sbli_m1.30_a5,1.30,5.0,0.690000,>0.1,pass,|M^2-1| at M=1.30
G08,press_m1.30_a5,1.30,5.0,0.397690,<2.0,pass,Pressure CD at M=1.30
G04,cd_m1.30_a10,1.30,10.0,1.054839,<2.0,pass,CD at M=1.30 AoA=10
G04,cn_m1.30_a10,1.30,10.0,6.327000,<50.0,pass,CN at M=1.30 AoA=10
G07,sbli_m1.30_a10,1.30,10.0,0.690000,>0.1,pass,|M^2-1| at M=1.30
G08,press_m1.30_a10,1.30,10.0,0.397690,<2.0,pass,Pressure CD at M=1.30
G04,cd_m1.50_a0,1.50,0.0,0.777750,<2.0,pass,CD at M=1.50 AoA=0
G04,cn_m1.50_a0,1.50,0.0,5.059942,<50.0,pass,CN at M=1.50 AoA=0
G07,sbli_m1.50_a0,1.50,0.0,1.250000,>0.1,pass,|M^2-1| at M=1.50
G08,press_m1.50_a0,1.50,0.0,0.369312,<2.0,pass,Pressure CD at M=1.50
G04,cd_m1.50_a2,1.50,2.0,0.783998,<2.0,pass,CD at M=1.50 AoA=2
G04,cn_m1.50_a2,1.50,2.0,5.128873,<50.0,pass,CN at M=1.50 AoA=2
G07,sbli_m1.50_a2,1.50,2.0,1.250000,>0.1,pass,|M^2-1| at M=1.50
G08,press_m1.50_a2,1.50,2.0,0.369312,<2.0,pass,Pressure CD at M=1.50
G04,cd_m1.50_a5,1.50,5.0,0.817681,<2.0,pass,CD at M=1.50 AoA=5
G04,cn_m1.50_a5,1.50,5.0,5.250062,<50.0,pass,CN at M=1.50 AoA=5
G07,sbli_m1.50_a5,1.50,5.0,1.250000,>0.1,pass,|M^2-1| at M=1.50
G08,press_m1.50_a5,1.50,5.0,0.369312,<2.0,pass,Pressure CD at M=1.50
G04,cd_m1.50_a10,1.50,10.0,0.944425,<2.0,pass,CD at M=1.50 AoA=10
G04,cn_m1.50_a10,1.50,10.0,5.499498,<50.0,pass,CN at M=1.50 AoA=10
G07,sbli_m1.50_a10,1.50,10.0,1.250000,>0.1,pass,|M^2-1| at M=1.50
G08,press_m1.50_a10,1.50,10.0,0.369312,<2.0,pass,Pressure CD at M=1.50
G04,cd_m2.00_a0,2.00,0.0,0.692287,<2.0,pass,CD at M=2.00 AoA=0
G04,cn_m2.00_a0,2.00,0.0,4.169289,<50.0,pass,CN at M=2.00 AoA=0
G07,sbli_m2.00_a0,2.00,0.0,3.000000,>0.1,pass,|M^2-1| at M=2.00
G08,press_m2.00_a0,2.00,0.0,0.371639,<2.0,pass,Pressure CD at M=2.00
